Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Year
2.0,1B,Eric Hosmer*,28.0,157.0,677.0,613.0,72.0,155.0,31.0,2.0,18.0,69.0,7.0,4.0,62.0,142.0,0.253,0.322,0.39799999999999996,0.72,100.0,244.0,18.0,1.0,0.0,1.0,10.0,2018
3.0,2B,Jose Pirela,28.0,146.0,473.0,438.0,54.0,109.0,23.0,2.0,5.0,32.0,6.0,3.0,30.0,89.0,0.249,0.3,0.345,0.645,80.0,151.0,10.0,3.0,0.0,2.0,1.0,2018
4.0,SS,Freddy Galvis#,28.0,162.0,656.0,602.0,62.0,149.0,31.0,5.0,13.0,67.0,8.0,6.0,45.0,147.0,0.248,0.299,0.38,0.68,88.0,229.0,8.0,2.0,1.0,6.0,2.0,2018
5.0,3B,Christian Villanueva,27.0,110.0,384.0,351.0,42.0,83.0,15.0,0.0,20.0,46.0,3.0,0.0,23.0,104.0,0.23600000000000002,0.299,0.45,0.75,106.0,158.0,12.0,9.0,0.0,1.0,0.0,2018
6.0,LF,Hunter Renfroe,26.0,117.0,441.0,403.0,53.0,100.0,23.0,1.0,26.0,68.0,2.0,1.0,30.0,109.0,0.248,0.302,0.504,0.805,120.0,203.0,9.0,3.0,0.0,5.0,2.0,2018
7.0,CF,Manuel Margot,23.0,141.0,519.0,477.0,50.0,117.0,26.0,8.0,8.0,51.0,11.0,10.0,32.0,88.0,0.245,0.292,0.384,0.675,87.0,183.0,9.0,2.0,1.0,7.0,4.0,2018
8.0,RF,Franmil Reyes,22.0,87.0,285.0,261.0,36.0,73.0,9.0,0.0,16.0,31.0,0.0,0.0,24.0,80.0,0.28,0.34,0.498,0.838,131.0,130.0,5.0,0.0,0.0,0.0,0.0,2018
1.0,C,Terry Kennedy*,25.0,101.0,412.0,382.0,32.0,115.0,24.0,1.0,2.0,41.0,0.0,2.0,22.0,53.0,0.301,0.341,0.385,0.726,112.0,147.0,7.0,2.0,4.0,2.0,6.0,1981
2.0,1B,Broderick Perkins*,26.0,92.0,275.0,254.0,27.0,71.0,18.0,3.0,2.0,40.0,0.0,4.0,14.0,16.0,0.28,0.314,0.39799999999999996,0.711,107.0,101.0,6.0,0.0,4.0,3.0,4.0,1981
3.0,2B,Juan Bonilla,25.0,99.0,407.0,369.0,30.0,107.0,13.0,2.0,1.0,25.0,4.0,9.0,25.0,23.0,0.29,0.337,0.344,0.6809999999999999,99.0,127.0,7.0,2.0,9.0,2.0,5.0,1981
